column_name,field_id,panel,modality,metric,region,effect_allele,other_allele,n,beta_per_A,se,t,p,aa_vs_gg_additive_2beta,status,bonferroni,fdr_bh
dMRI_weighted_mean_L2_cingulate_gyrus_part_of_cingulum_left,25600.0,primary,dMRI_weighted_mean,L2,cingulate gyrus part of cingulum (left),A,G,36334,-0.0004967587217791078,0.007038980014677422,-0.07057254328656777,0.9437383519350204,-0.0009935174435582155,ok,1.0,0.9982962480010785
dMRI_TBSS_MD_uncinate_fasciculus_right,25148.0,primary,dMRI_TBSS,MD,uncinate fasciculus (right),A,G,36329,0.0004949090302821675,0.007126790943370149,0.06944346118957892,0.944637017912968,0.000989818060564335,ok,1.0,0.9982962480010785
dMRI_TBSS_ICVF_retrolenticular_part_of_internal_capsule_f25365,25365.0,primary,dMRI_TBSS,ICVF,retrolenticular part of internal capsule (left),A,G,36322,-0.0004862871503550016,0.007237745185615521,-0.06718765829466627,0.94643268030948,-0.0009725743007100032,ok,1.0,0.9982962480010785
dMRI_TBSS_MD_anterior_corona_radiata_right,25126.0,primary,dMRI_TBSS,MD,anterior corona radiata (right),A,G,36322,-0.00043671864123776417,0.006630438181942636,-0.0658657285165746,0.9474850888092261,-0.0008734372824755283,ok,1.0,0.9982962480010785
dMRI_weighted_mean_L2_parahippocampal_part_of_cingulum_left,25602.0,primary,dMRI_weighted_mean,L2,parahippocampal part of cingulum (left),A,G,36284,-0.00046052077481574007,0.007199729306843344,-0.06396362351818075,0.948999544362218,-0.0009210415496314801,ok,1.0,0.9982962480010785
dMRI_TBSS_L3_sagittal_stratum_left,25327.0,primary,dMRI_TBSS,L3,sagittal stratum (left),A,G,36324,-0.0004098472784679762,0.0069284952433340576,-0.05915386589350587,0.9528298806324685,-0.0008196945569359524,ok,1.0,0.9982962480010785
dMRI_TBSS_MD_sagittal_stratum_left,25135.0,primary,dMRI_TBSS,MD,sagittal stratum (left),A,G,36328,-0.0003984580384938113,0.0069477185723958845,-0.057350918051996616,0.9542659760244707,-0.0007969160769876226,ok,1.0,0.9982962480010785
dMRI_TBSS_ICVF_fornix_cres_stria_terminalis_right,25382.0,primary,dMRI_TBSS,ICVF,fornix cres+stria terminalis (right),A,G,36314,0.0004124042200727116,0.007273706380648663,0.05669794716623325,0.9547861215236788,0.0008248084401454232,ok,1.0,0.9982962480010785
dMRI_TBSS_L2_anterior_limb_of_internal_capsule_right,25264.0,primary,dMRI_TBSS,L2,anterior limb of internal capsule (right),A,G,36325,0.0003767990013684372,0.007206792449691394,0.05228387025140044,0.9583027931623367,0.0007535980027368744,ok,1.0,0.9982962480010785
dMRI_weighted_mean_MD_uncinate_fasciculus_left,25540.0,primary,dMRI_weighted_mean,MD,uncinate fasciculus (left),A,G,36328,0.00035329049573244796,0.006911004174437898,0.05111999455002248,0.9592301847794192,0.0007065809914648959,ok,1.0,0.9982962480010785
dMRI_weighted_mean_L3_inferior_fronto_occipital_fasciculus_rig,25636.0,primary,dMRI_weighted_mean,L3,inferior fronto-occipital fasciculus (right),A,G,36327,-0.00033521002906965566,0.006914349029745966,-0.048480345384295895,0.9613336948832891,-0.0006704200581393113,ok,1.0,0.9982962480010785
dMRI_weighted_mean_MD_parahippocampal_part_of_cingulum_left,25521.0,primary,dMRI_weighted_mean,MD,parahippocampal part of cingulum (left),A,G,36276,0.0003405142594486805,0.007155808607213967,0.04758571366838944,0.962046680158319,0.000681028518897361,ok,1.0,0.9982962480010785
dMRI_TBSS_MD_sagittal_stratum_right,25134.0,primary,dMRI_TBSS,MD,sagittal stratum (right),A,G,36336,-0.0003290563227184202,0.007111039047994945,-0.04627401431738758,0.9630921052089527,-0.0006581126454368405,ok,1.0,0.9982962480010785
dMRI_TBSS_L1_posterior_corona_radiata_right,25226.0,primary,dMRI_TBSS,L1,posterior corona radiata (right),A,G,36314,0.0002721711002316017,0.006357737858838872,0.042809424715933304,0.9658536866137493,0.0005443422004632034,ok,1.0,0.9982962480010785
dMRI_TBSS_MD_corticospinal_tract_right,25110.0,primary,dMRI_TBSS,MD,corticospinal tract (right),A,G,36336,-0.00030176475120885895,0.007357814722234731,-0.04101282277426066,0.967285898900333,-0.0006035295024177179,ok,1.0,0.9982962480010785
dMRI_TBSS_L2_medial_lemniscus_right,25256.0,primary,dMRI_TBSS,L2,medial lemniscus (right),A,G,36285,-0.0002671844084108855,0.006963445547749853,-0.03836956957281337,0.9693932343424984,-0.000534368816821771,ok,1.0,0.9982962480010785
dMRI_weighted_mean_ISOVF_corticospinal_tract_left,25712.0,primary,dMRI_weighted_mean,ISOVF,corticospinal tract (left),A,G,36327,-0.00024819974148673627,0.007288009103005509,-0.034055904428601895,0.9728327585118991,-0.0004963994829734725,ok,1.0,0.9982962480010785
dMRI_weighted_mean_L3_posterior_thalamic_radiation_left,25642.0,primary,dMRI_weighted_mean,L3,posterior thalamic radiation (left),A,G,36317,0.00022293953195798676,0.006634139878181782,0.033604888659520965,0.9731924087263039,0.0004458790639159735,ok,1.0,0.9982962480010785
dMRI_weighted_mean_FA_uncinate_fasciculus_left,25513.0,primary,dMRI_weighted_mean,FA,uncinate fasciculus (left),A,G,36334,0.00023551141820213345,0.007070959069124036,0.033306856382540065,0.9734300693065405,0.0004710228364042669,ok,1.0,0.9982962480010785
dMRI_TBSS_ISOVF_anterior_corona_radiata_right,25462.0,primary,dMRI_TBSS,ISOVF,anterior corona radiata (right),A,G,36328,-0.00021235369764110697,0.00723402662081281,-0.029354840501989617,0.976581750720668,-0.00042470739528221394,ok,1.0,0.9982962480010785
dMRI_TBSS_L3_retrolenticular_part_of_internal_capsule_f25317,25317.0,primary,dMRI_TBSS,L3,retrolenticular part of internal capsule (left),A,G,36340,0.00020350179326799993,0.007185798918846018,0.028319995530946572,0.9774070885155439,0.00040700358653599986,ok,1.0,0.9982962480010785
dMRI_TBSS_MD_uncinate_fasciculus_left,25149.0,primary,dMRI_TBSS,MD,uncinate fasciculus (left),A,G,36332,0.0002011667955511805,0.007194749982477729,0.027960220444227676,0.9776940319224425,0.000402333591102361,ok,1.0,0.9982962480010785
dMRI_weighted_mean_MD_medial_lemniscus_left,25532.0,primary,dMRI_weighted_mean,MD,medial lemniscus (left),A,G,36335,0.00018847495115943293,0.007074655024651565,0.02664086807097927,0.9787463232423874,0.00037694990231886585,ok,1.0,0.9982962480010785
dMRI_weighted_mean_FA_forceps_major,25498.0,primary,dMRI_weighted_mean,FA,forceps major,A,G,36330,-0.00019266211070816637,0.007379766705303601,-0.026106802342370294,0.9791722949435632,-0.00038532422141633274,ok,1.0,0.9982962480010785
dMRI_TBSS_ISOVF_medial_lemniscus_left,25449.0,primary,dMRI_TBSS,ISOVF,medial lemniscus (left),A,G,36294,-0.0001769118546244408,0.00713671033953197,-0.024788991875498028,0.9802234079740948,-0.0003538237092488816,ok,1.0,0.9982962480010785
dMRI_weighted_mean_L3_inferior_longitudinal_fasciculus_left,25637.0,primary,dMRI_weighted_mean,L3,inferior longitudinal fasciculus (left),A,G,36329,0.00017041454744841375,0.006902057800611359,0.024690397033956896,0.9803020505314752,0.0003408290948968275,ok,1.0,0.9982962480010785
dMRI_weighted_mean_L3_uncinate_fasciculus_left,25648.0,primary,dMRI_weighted_mean,L3,uncinate fasciculus (left),A,G,36328,-0.00016781942986068203,0.006935562232166859,-0.024196946728030536,0.9806956465937408,-0.00033563885972136406,ok,1.0,0.9982962480010785
dMRI_TBSS_MD_inferior_cerebellar_peduncle_right,25114.0,primary,dMRI_TBSS,MD,inferior cerebellar peduncle (right),A,G,36314,-0.00017056027166656136,0.007135308041195237,-0.023903701239223692,0.9809295534204723,-0.00034112054333312273,ok,1.0,0.9982962480010785
dMRI_TBSS_L2_cingulum_hippocampus_right,25284.0,primary,dMRI_TBSS,L2,cingulum hippocampus (right),A,G,36332,-0.000155540955117996,0.007231603736483121,-0.02150850085068942,0.9828401405520373,-0.000311081910235992,ok,1.0,0.9982962480010785
dMRI_TBSS_L3_splenium_of_corpus_callosum,25300.0,primary,dMRI_TBSS,L3,splenium of corpus callosum,A,G,36308,-0.00011665593198233962,0.007028179533930689,-0.016598314174979083,0.9867571607488925,-0.00023331186396467925,ok,1.0,0.9982962480010785
dMRI_TBSS_FA_body_of_corpus_callosum,25059.0,primary,dMRI_TBSS,FA,body of corpus callosum,A,G,36335,-9.568750325571884e-05,0.00709387185295324,-0.01348875553987958,0.9892379306890977,-0.0001913750065114377,ok,1.0,0.9982962480010785
dMRI_TBSS_ICVF_anterior_corona_radiata_right,25366.0,primary,dMRI_TBSS,ICVF,anterior corona radiata (right),A,G,36322,-8.317941869126961e-05,0.006751083903501454,-0.012320898374278619,0.9901696618570683,-0.00016635883738253923,ok,1.0,0.9982962480010785
dMRI_TBSS_RD_left,,primary,dMRI_TBSS,RD,left,A,G,36329,-8.338981319926124e-05,0.007147802138070294,-0.011666497139745133,0.990691757326243,-0.00016677962639852247,ok,1.0,0.9982962480010785
dMRI_TBSS_L3_retrolenticular_part_of_internal_capsule_f25316,25316.0,primary,dMRI_TBSS,L3,retrolenticular part of internal capsule (right),A,G,36333,8.022840174789844e-05,0.007266329343245466,0.011041118281058379,0.9911907018495205,0.00016045680349579687,ok,1.0,0.9982962480010785
dMRI_weighted_mean_ICVF_inferior_longitudinal_fasciculus_right,25665.0,primary,dMRI_weighted_mean,ICVF,inferior longitudinal fasciculus (right),A,G,36318,6.47095730195385e-05,0.007111601623659271,0.009099156061309606,0.9927400740653813,0.000129419146039077,ok,1.0,0.9982962480010785
dMRI_TBSS_L3_middle_cerebellar_peduncle,25296.0,primary,dMRI_TBSS,L3,middle cerebellar peduncle,A,G,36326,-6.535188397442372e-05,0.00722889696016868,-0.009040367338822712,0.992786978415987,-0.00013070376794884744,ok,1.0,0.9982962480010785
dMRI_TBSS_OD_posterior_corona_radiata_right,25418.0,primary,dMRI_TBSS,OD,posterior corona radiata (right),A,G,36329,5.941628175417971e-05,0.00679217062573323,0.008747760477198788,0.9930204340661802,0.00011883256350835942,ok,1.0,0.9982962480010785
dMRI_TBSS_ICVF_inferior_cerebellar_peduncle_right,25354.0,primary,dMRI_TBSS,ICVF,inferior cerebellar peduncle (right),A,G,36317,5.858194560733693e-05,0.007113095741670148,0.0082357875860085,0.9934289118001852,0.00011716389121467387,ok,1.0,0.9982962480010785
dMRI_weighted_mean_ICVF_anterior_thalamic_radiation_right,25653.0,primary,dMRI_weighted_mean,ICVF,anterior thalamic radiation (right),A,G,36316,-5.403735885847684e-05,0.006731096785843909,-0.008028016915775477,0.993594682187627,-0.00010807471771695368,ok,1.0,0.9982962480010785
dMRI_weighted_mean_ISOVF_forceps_minor,25715.0,primary,dMRI_weighted_mean,ISOVF,forceps minor,A,G,36341,-5.184578365132022e-05,0.00731112797533846,-0.007091352227208153,0.9943420059225965,-0.00010369156730264045,ok,1.0,0.9982962480010785
dMRI_TBSS_ISOVF_posterior_limb_of_internal_capsule_right,25458.0,primary,dMRI_TBSS,ISOVF,posterior limb of internal capsule (right),A,G,36346,-4.129902762198129e-05,0.0072141287983588116,-0.005724742207454998,0.9954323729733259,-8.259805524396259e-05,ok,1.0,0.9982962480010785
dMRI_TBSS_ICVF_anterior_limb_of_internal_capsule_left,25361.0,primary,dMRI_TBSS,ICVF,anterior limb of internal capsule (left),A,G,36315,3.848196251848964e-05,0.0069636862688046705,0.005526090784830136,0.9955908703029777,7.696392503697928e-05,ok,1.0,0.9982962480010785
dMRI_TBSS_ICVF_external_capsule_left,25377.0,primary,dMRI_TBSS,ICVF,external capsule (left),A,G,36317,-2.431976745017248e-05,0.006791225840370793,-0.003581057090695227,0.9971427556292558,-4.863953490034496e-05,ok,1.0,0.9982962480010785
dMRI_weighted_mean_L2_parahippocampal_part_of_cingulum_right,25603.0,primary,dMRI_weighted_mean,L2,parahippocampal part of cingulum (right),A,G,36298,-2.3562246671202496e-05,0.007216671320834372,-0.0032649743384015294,0.9973949499704606,-4.712449334240499e-05,ok,1.0,0.9982962480010785
dMRI_TBSS_L3_posterior_corona_radiata_right,25322.0,primary,dMRI_TBSS,L3,posterior corona radiata (right),A,G,36288,-1.4361531260026483e-05,0.006725601113057032,-0.002135352813616186,0.9982962480010785,-2.8723062520052967e-05,ok,1.0,0.9982962480010785
WMH_volume,25781.0,secondary,T2_FLAIR,WMH_volume,,A,G,36144,-0.001035851036939662,0.006352452927244839,-0.16306315824821505,0.8704696193977328,-0.002071702073879324,ok,0.8704696193977328,0.8704696193977328
