column_name,family,panel,modality,metric,region,source,n,beta_per_A,se,chisq,p,log10p,engine,info,eaf,status,effect_allele,other_allele,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
roi__superior_cerebellar_peduncle_left__PC1,secondary_roi_pca,secondary,dMRI_roi_pca,PC1,superior cerebellar peduncle (left),roi_pca,39218,-0.0214747,0.00663096,10.4882,0.0012014065628177279,2.92031,regenie,,0.480557,ok,A,G,0.0012014065628177279,2.92031,4,1.0,True,True,False
roi__superior_cerebellar_peduncle_right__PC1,secondary_roi_pca,secondary,dMRI_roi_pca,PC1,superior cerebellar peduncle (right),roi_pca,39218,-0.0188078,0.00668502,7.91533,0.0049017369355549185,2.30965,regenie,,0.480557,ok,A,G,0.0049017369355549185,2.30965,4,2.0,True,True,False
roi__superior_cerebellar_peduncle_right__PC2,secondary_roi_pca,secondary,dMRI_roi_pca,PC2,superior cerebellar peduncle (right),roi_pca,39218,-0.014619,0.00671248,4.74316,0.029415077705762443,1.53143,regenie,,0.480557,ok,A,G,0.029415077705762443,1.53143,4,3.0,True,False,False
roi__superior_cerebellar_peduncle_left__PC2,secondary_roi_pca,secondary,dMRI_roi_pca,PC2,superior cerebellar peduncle (left),roi_pca,39218,-0.0120031,0.00672352,3.18709,0.07422154663961698,1.12947,regenie,,0.480557,ok,A,G,0.07422154663961698,1.12947,4,4.0,False,False,False
