disease_flag,disease_label,phenotype,variant,effect_allele,other_allele,family,analysis_tier,confirmatory_role,panel,metric,region,source,analysis,model,status,n,n_case,n_control,beta_per_A_controls,se_per_A_controls,p_per_A_controls,beta_interaction,se_interaction,p_interaction,beta_per_A_cases_from_interaction,se_per_A_cases_from_interaction,p_per_A_cases_from_interaction,vcov_type,n_case_AA,n_case_AG,n_case_GG,raw_p,minus_log10_raw_p,stratum,beta_per_A,se_per_A,p_per_A
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__tbss__external_capsule_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,external capsule (right),composite,stratified_case,additive_dosage_within_stratum,ok,286,,,,,,,,,,,,nonrobust,,,,0.0084263115782167,2.0743624860828507,1.0,0.4639857644803499,0.1746069002035396,0.0084263115782167
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__tbss__external_capsule_left,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,external capsule (left),composite,stratified_case,additive_dosage_within_stratum,ok,286,,,,,,,,,,,,nonrobust,,,,0.0162023598821252,1.7904217256336732,1.0,0.3991636254986071,0.1648011078400238,0.0162023598821252
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__wm__inferior_fronto_occipital_fasciculus_rig,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,inferior fronto-occipital fasciculus (right),composite,stratified_case,additive_dosage_within_stratum,ok,286,,,,,,,,,,,,nonrobust,,,,0.0221994107909874,1.653658552288942,1.0,0.3627948797516645,0.1575684760188585,0.0221994107909874
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__wm__anterior_thalamic_radiation_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,anterior thalamic radiation (right),composite,stratified_case,additive_dosage_within_stratum,ok,286,,,,,,,,,,,,nonrobust,,,,0.0296020983495083,1.528677502815624,1.0,0.3619592750483164,0.165357425707359,0.0296020983495083
broad_neurodeg_case,"Broad clinical neurodegeneration, excluding MS definition",demyelination_like__tbss__anterior_limb_of_internal_capsule_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,anterior limb of internal capsule (right),composite,stratified_case,additive_dosage_within_stratum,ok,286,,,,,,,,,,,,nonrobust,,,,0.0339006469678177,1.4697920135411036,1.0,0.4116904634887394,0.1929240848512796,0.0339006469678177
ms_case,"Multiple sclerosis current union, corrected G35-first-occurrence",demyelination_like__tbss__superior_longitudinal_fasciculus_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,superior longitudinal fasciculus (right),composite,stratified_case,additive_dosage_within_stratum,ok,135,,,,,,,,,,,,nonrobust,,,,0.032335643256331,1.4903184951654085,1.0,0.672169566843815,0.3085893758975557,0.032335643256331
ms_case,"Multiple sclerosis current union, corrected G35-first-occurrence",demyelination_like__wm__superior_longitudinal_fasciculus_right,rs2546890,A,G,secondary_composite,secondary_composite,mechanistic_composite,secondary,demyelination_like,superior longitudinal fasciculus (right),composite,stratified_case,additive_dosage_within_stratum,ok,135,,,,,,,,,,,,nonrobust,,,,0.0354890385074395,1.4499057666870616,1.0,0.6368115935742035,0.2977211581415063,0.0354890385074395
