column_name,field_id,field_id_base,family,analysis_tier,confirmatory_role,panel,modality,metric,region,source,effect_allele,other_allele,model,contrast,n,beta,se,stat,p,vcov_type,status,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
WMH_volume,25781.0,25781.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_volume,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),basket,A,G,genotype_pairwise,AA_vs_AG,30064,-0.003776377410034757,0.006849730704363409,-0.5513176463461743,0.5814201182500841,nonrobust,ok,0.5814201182500841,0.23550994488442037,30,22.0,False,False,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,genotype_pairwise,AA_vs_AG,30073,-0.003145973861620813,0.00655214679805317,-0.4801439831225351,0.6311285732487415,nonrobust,ok,0.6311285732487415,0.19988215745261834,30,27.0,False,False,False
WMH_mean_volume,24486.0,24486.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_mean_volume,,basket,A,G,genotype_pairwise,AA_vs_GG,30017,0.0029473537979564065,0.010296496332154056,0.2862482249182535,0.7746900228376343,nonrobust,ok,0.7746900228376343,0.11087203723640333,30,29.0,False,False,False
WMH_volume,25781.0,25781.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_volume,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),basket,A,G,genotypic_global,AA/AG/GG_2df,30064,,,2.5878916012189204,0.2741867595429169,nonrobust,ok,0.2741867595429169,0.5619535210865739,30,9.0,False,False,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,genotypic_global,AA/AG/GG_2df,30073,,,1.4742141683974432,0.4784961643069333,nonrobust,ok,0.4784961643069333,0.3201215392393003,30,14.0,False,False,False
WMH_mean_volume,24486.0,24486.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_mean_volume,,basket,A,G,genotypic_global,AA/AG/GG_2df,30017,,,1.0585431915141013,0.5890338682224864,nonrobust,ok,0.5890338682224864,0.2298597334654155,30,25.0,False,False,False
WMH_volume,25781.0,25781.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_volume,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),basket,A,G,recessive_A,AA_vs_AG/GG,32462,-0.004236736641453458,0.006225759519834803,-0.6805172329505392,0.49618195248200536,nonrobust,ok,0.49618195248200536,0.3043590362750535,30,15.0,False,False,False
WMH_volume,25781.0,25781.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_volume,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),basket,A,G,recessive_A,AA_vs_AG/GG,32462,-0.004236736641453458,0.006320314224107437,-0.6703363932909167,0.502643372288803,HC3,ok,0.502643372288803,0.29874003955364525,30,18.0,False,False,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,recessive_A,AA_vs_AG/GG,32473,-0.0032439852539132325,0.005955844544866116,-0.5446725866459222,0.5859825278454052,nonrobust,ok,0.5859825278454052,0.23211533308336396,30,24.0,False,False,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,recessive_A,AA_vs_AG/GG,32473,-0.0032439852539132325,0.006034897356146238,-0.5375377678311956,0.5908962040296426,HC3,ok,0.5908962040296426,0.2284887999581825,30,26.0,False,False,False
WMH_mean_volume,24486.0,24486.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_mean_volume,,basket,A,G,recessive_A,AA_vs_AG/GG,32412,-0.002266130032647568,0.00787435514122837,-0.2877861097199713,0.7735123428895594,nonrobust,ok,0.7735123428895594,0.11153275189860465,30,28.0,False,False,False
WMH_mean_volume,24486.0,24486.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_mean_volume,,basket,A,G,recessive_A,AA_vs_AG/GG,32412,-0.002266130032647568,0.008018779948944003,-0.28260284570422656,0.7774812986662163,HC3,ok,0.7774812986662163,0.10931004858247097,30,30.0,False,False,False
dMRI_TBSS_L1_posterior_limb_of_internal_capsule_left,25219.0,25075.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior limb of internal capsule (left),basket,A,G,additive_dosage,per_A_allele,32565,0.010434049794568512,0.0067609542158904344,1.5432806466940883,0.12277258379648245,nonrobust,ok,0.12277258379648245,0.9108986041658593,170,8.0,False,False,False
dMRI_TBSS_L1_posterior_limb_of_internal_capsule_left,25219.0,25075.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior limb of internal capsule (left),basket,A,G,additive_dosage,per_A_allele,32565,0.010434049794568512,0.006815786534312067,1.5308651088236649,0.12580273404696585,HC3,ok,0.12580273404696585,0.900309920348557,170,10.0,False,False,False
dMRI_TBSS_L1_splenium_of_corpus_callosum,25204.0,25060.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,splenium of corpus callosum,basket,A,G,additive_dosage,per_A_allele,32564,-0.006647543120144729,0.006683988188014736,-0.9945474069006648,0.319963956618992,nonrobust,ok,0.319963956618992,0.494898941439826,170,26.0,False,False,False
dMRI_TBSS_L1_splenium_of_corpus_callosum,25204.0,25060.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,splenium of corpus callosum,basket,A,G,additive_dosage,per_A_allele,32564,-0.006647543120144729,0.006751371915148077,-0.984621082009956,0.3248102302236098,HC3,ok,0.3248102302236098,0.48837030067564563,170,28.0,False,False,False
dMRI_TBSS_L1_genu_of_corpus_callosum,25202.0,25058.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,genu of corpus callosum,basket,A,G,additive_dosage,per_A_allele,32566,-0.006431025067458315,0.006583710815316224,-0.9768085579483984,0.32867132105073704,nonrobust,ok,0.32867132105073704,0.4832381895989204,170,31.0,False,False,False
dMRI_TBSS_L1_genu_of_corpus_callosum,25202.0,25058.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,genu of corpus callosum,basket,A,G,additive_dosage,per_A_allele,32566,-0.006431025067458315,0.006639737875108089,-0.9685661073410408,0.3327617205663532,HC3,ok,0.3327617205663532,0.47786663882053726,170,32.0,False,False,False
dMRI_TBSS_L1_posterior_corona_radiata_left,25227.0,25083.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior corona radiata (left),basket,A,G,additive_dosage,per_A_allele,32537,0.005347609959426834,0.005665653629589726,0.9438646110482537,0.34523883827368607,HC3,ok,0.34523883827368607,0.461880353457532,170,33.0,False,False,False
dMRI_TBSS_L1_posterior_corona_radiata_left,25227.0,25083.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior corona radiata (left),basket,A,G,additive_dosage,per_A_allele,32537,0.005347609959426834,0.005684845791159636,0.9406781038357752,0.34687694880243836,nonrobust,ok,0.34687694880243836,0.45982455960022417,170,34.0,False,False,False
dMRI_TBSS_L1_superior_corona_radiata_right,25224.0,25080.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,superior corona radiata (right),basket,A,G,additive_dosage,per_A_allele,32546,0.004556337878437525,0.005838974500123905,0.7803318679231837,0.4352013338617322,nonrobust,ok,0.4352013338617322,0.36130978222554244,170,40.0,False,False,False
dMRI_TBSS_L1_superior_corona_radiata_right,25224.0,25080.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,superior corona radiata (right),basket,A,G,additive_dosage,per_A_allele,32546,0.004556337878437525,0.005867126860764452,0.7765875847865783,0.4374021286658548,HC3,ok,0.4374021286658548,0.35911910775109085,170,42.0,False,False,False
dMRI_TBSS_L1_corticospinal_tract_right,25206.0,25062.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,corticospinal tract (right),basket,A,G,additive_dosage,per_A_allele,32560,0.005303911147188026,0.007485345415950644,0.7085726646476241,0.4785948659154725,nonrobust,ok,0.4785948659154725,0.320031964553629,170,52.0,False,False,False
dMRI_TBSS_L1_corticospinal_tract_right,25206.0,25062.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,corticospinal tract (right),basket,A,G,additive_dosage,per_A_allele,32560,0.005303911147188026,0.007545764082624088,0.70289914833165,0.4821186019558391,HC3,ok,0.4821186019558391,0.31684611147298214,170,53.0,False,False,False
dMRI_TBSS_L1_posterior_limb_of_internal_capsule_right,25218.0,25074.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior limb of internal capsule (right),basket,A,G,additive_dosage,per_A_allele,32564,0.004393225595105036,0.0066649896541422825,0.6591496495984285,0.509804418097063,nonrobust,ok,0.509804418097063,0.2925964051420343,170,61.0,False,False,False
dMRI_TBSS_L1_posterior_limb_of_internal_capsule_right,25218.0,25074.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior limb of internal capsule (right),basket,A,G,additive_dosage,per_A_allele,32564,0.004393225595105036,0.006738298304894073,0.6519784961010417,0.5144150447516325,HC3,ok,0.5144150447516325,0.2886863383788012,170,63.0,False,False,False
dMRI_TBSS_L1_anterior_corona_radiata_right,25222.0,25078.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,anterior corona radiata (right),basket,A,G,additive_dosage,per_A_allele,32560,-0.004170735009592471,0.0064784093137712434,-0.6437899810879011,0.5197162451815026,nonrobust,ok,0.5197162451815026,0.2842337078790491,170,66.0,False,False,False
dMRI_TBSS_L1_anterior_corona_radiata_right,25222.0,25078.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,anterior corona radiata (right),basket,A,G,additive_dosage,per_A_allele,32560,-0.004170735009592471,0.006504949512898754,-0.6411633174588462,0.521416579814202,HC3,ok,0.521416579814202,0.2828151634106168,170,67.0,False,False,False
dMRI_TBSS_L1_posterior_corona_radiata_right,25226.0,25082.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior corona radiata (right),basket,A,G,additive_dosage,per_A_allele,32540,-0.003343802530425919,0.005455774326965643,-0.6128923833778978,0.5399518580006784,nonrobust,ok,0.5399518580006784,0.2676449600597969,170,72.0,False,False,False
dMRI_TBSS_L1_superior_corona_radiata_left,25225.0,25081.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,superior corona radiata (left),basket,A,G,additive_dosage,per_A_allele,32548,0.0034931986152497325,0.005804531947859604,0.6018053904480334,0.5473079515737744,nonrobust,ok,0.5473079515737744,0.2617682421561854,170,73.0,False,False,False
dMRI_TBSS_L1_cerebral_peduncle_left,25215.0,25071.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,cerebral peduncle (left),basket,A,G,additive_dosage,per_A_allele,32563,0.004193490110165319,0.007194335770889097,0.5828877388700299,0.5599729819840378,nonrobust,ok,0.5599729819840378,0.2518329266693532,170,76.0,False,False,False
dMRI_TBSS_L1_cerebral_peduncle_left,25215.0,25071.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,cerebral peduncle (left),basket,A,G,additive_dosage,per_A_allele,32563,0.004193490110165319,0.007216333802720643,0.5811108832831879,0.5611657241117625,HC3,ok,0.5611657241117625,0.25090886345217084,170,77.0,False,False,False
