metric,modality,region,column_name,n,beta_per_A,se,t,p,aa_vs_gg_additive_2beta,aa_vs_gg_beta_genotypic,aa_vs_gg_p_genotypic,wald_p,field_id
FA,dMRI_TBSS,cerebral peduncle (left),dMRI_TBSS_FA_cerebral_peduncle_left,32560,0.0271701054930888,0.0069430976406547,3.91325412651501,9.12489015661967e-05,0.0543402109861776,0.0549145211921136,7.910998152058225e-05,0.0003714920659266,25071.0
FA,dMRI_TBSS,corticospinal tract (left),dMRI_TBSS_FA_corticospinal_tract_left,32565,0.0185846537316339,0.0073065337001584,2.54356641525256,0.0109773812283227,0.0371693074632679,0.0374615907062571,0.0105019052608414,0.0372090517428893,25063.0
FA,dMRI_weighted_mean,uncinate fasciculus (right),dMRI_weighted_mean_FA_uncinate_fasciculus_right,32561,0.0167739847234721,0.0071350490351419,2.35092774287268,0.0187327029067438,0.0335479694469443,0.0318896433537312,0.0256962582142089,0.009339149873307,25514.0
FA,dMRI_weighted_mean,corticospinal tract (left),dMRI_weighted_mean_FA_corticospinal_tract_left,32561,0.0129494845572155,0.0070984223680695,1.8242764216828735,0.0681196131977195,0.025898969114431,0.0252939868273853,0.0753306308289575,0.1465405412196028,25496.0
FA,dMRI_TBSS,posterior limb of internal capsule (left),dMRI_TBSS_FA_posterior_limb_of_internal_capsule_left,32564,0.0126093133732916,0.0071860320365005,1.7546976285722466,0.0793206099961369,0.0252186267465833,0.0249984309507654,0.082525353035936,0.2075259831793767,25075.0
FA,dMRI_TBSS,corticospinal tract (right),dMRI_TBSS_FA_corticospinal_tract_right,32564,0.0121942794472042,0.007148250612239,1.7059110135738065,0.0880343513452051,0.0243885588944084,0.0249819320370485,0.0811134796348031,0.1829902269937955,25062.0
FA,dMRI_weighted_mean,parahippocampal part of cingulum (left),dMRI_weighted_mean_FA_parahippocampal_part_of_cingulum_left,32562,0.0125201504330484,0.0074105274559406,1.6895086763374283,0.0911317309675755,0.0250403008660969,0.025789611470935,0.0823992166638422,0.1672621200425747,25494.0
FA,dMRI_TBSS,splenium of corpus callosum,dMRI_TBSS_FA_splenium_of_corpus_callosum,32542,0.010607957633707,0.0074420505478773,1.4254078987319905,0.154049084987692,0.0212159152674141,0.0211374721187004,0.1563172393304691,0.3606770812149067,25060.0
FA,dMRI_TBSS,cerebral peduncle (right),dMRI_TBSS_FA_cerebral_peduncle_right,32560,0.0099111978831394,0.006983262804905,1.419278947396597,0.1558274474426521,0.0198223957662788,0.0207650594180746,0.1377774977105912,0.1919246967056515,25070.0
FA,dMRI_TBSS,posterior limb of internal capsule (right),dMRI_TBSS_FA_posterior_limb_of_internal_capsule_right,32563,0.0100922834093073,0.0072071116110474,1.400322896878321,0.1614263416412416,0.0201845668186146,0.019690147720752,0.1727075385176249,0.3179437518350647,25074.0
FA,dMRI_weighted_mean,cingulate gyrus part of cingulum (right),dMRI_weighted_mean_FA_cingulate_gyrus_part_of_cingulum_right,32562,0.0100210726163683,0.0074781444983334,1.340048005036754,0.1802392525213972,0.0200421452327367,0.0211095849853187,0.1588657967718295,0.1988448922946672,25493.0
FA,dMRI_TBSS,body of corpus callosum,dMRI_TBSS_FA_body_of_corpus_callosum,32556,0.0073842681366467,0.0066716634936707,1.1068106393033874,0.2683841281240479,0.0147685362732935,0.0160398997420277,0.2301546616225566,0.1516992875653754,25059.0
FA,dMRI_weighted_mean,parahippocampal part of cingulum (right),dMRI_weighted_mean_FA_parahippocampal_part_of_cingulum_right,32561,0.0079278394201355,0.007379181559615,1.0743521291742235,0.2826729895328209,0.0158556788402711,0.0159101314052148,0.28188084859526,0.5604467735642823,25495.0
FA,dMRI_weighted_mean,forceps minor,dMRI_weighted_mean_FA_forceps_minor,32563,0.0072124322249861,0.0069005863874896,1.0451912083967057,0.2959424999885509,0.0144248644499723,0.0155944104309425,0.2593491493292301,0.2106827285494125,25499.0
FA,dMRI_weighted_mean,forceps major,dMRI_weighted_mean_FA_forceps_major,32556,0.0068427865230388,0.0072986079028414,0.9375468053811848,0.3484844358441237,0.0136855730460777,0.013453281716475,0.3575845281078631,0.6217608680483515,25498.0
FA,dMRI_TBSS,posterior thalamic radiation (right),dMRI_TBSS_FA_posterior_thalamic_radiation_right,32561,-0.0057322893334415,0.0063514601380914,-0.9025152026167088,0.3667900420643908,-0.0114645786668831,-0.0108685413685247,0.3930692873093535,0.4878702478194829,25084.0
FA,dMRI_TBSS,posterior thalamic radiation (left),dMRI_TBSS_FA_posterior_thalamic_radiation_left,32561,0.0055417190072299,0.0063038377076805,0.8791024236677097,0.3793523444267944,0.0110834380144598,0.0106433383871879,0.3994073919621176,0.572386009030792,25085.0
FA,dMRI_TBSS,posterior corona radiata (left),dMRI_TBSS_FA_posterior_corona_radiata_left,32561,0.0058397823179637,0.006888049487974,0.8478136413159407,0.3965481055451211,0.0116795646359274,0.0113231817854244,0.4119508492615166,0.6354088930040284,25083.0
FA,dMRI_weighted_mean,corticospinal tract (right),dMRI_weighted_mean_FA_corticospinal_tract_right,32561,0.0057039348188997,0.0068758946020746,0.8295553013827134,0.4067964454129311,0.0114078696377995,0.0109662873078904,0.4260217507582232,0.612805350924774,25497.0
