column_name,field_id,family,panel,modality,metric,region,source,effect_allele,other_allele,n,beta_per_A,se,t,p,vcov_type,aa_vs_gg_additive_2beta,status,bonferroni,fdr_bh,family_bonferroni,family_fdr_bh
axonal_loss_like__wm__forceps_major,,secondary,secondary,dMRI_composite_wm,axonal_loss_like,forceps major,composite,A,G,36351,-0.00676977767693978,0.008624867479046224,-0.7849138196484395,0.4325092185985394,nonrobust,-0.01353955535387956,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
tract_geometry_like__wm__parahippocampal_part_of_cingulum_left,,secondary,secondary,dMRI_composite_wm,tract_geometry_like,parahippocampal part of cingulum (left),composite,A,G,36351,0.008449798690953553,0.010846794362403196,0.7790134493783683,0.43597686779641354,nonrobust,0.016899597381907105,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
demyelination_like__wm__forceps_minor,,secondary,secondary,dMRI_composite_wm,demyelination_like,forceps minor,composite,A,G,36351,-0.007591806304795871,0.009757495806075251,-0.7780486362155575,0.4365454097513384,nonrobust,-0.015183612609591743,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
axonal_loss_like__tbss__fornix,,secondary,secondary,dMRI_composite_tbss,axonal_loss_like,fornix,composite,A,G,36352,-0.004029230327888467,0.005205789964692571,-0.773990183087691,0.4389416344936473,nonrobust,-0.008058460655776934,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
free_water_like__wm__cingulate_gyrus_part_of_cingulum_right,,secondary,secondary,dMRI_composite_wm,free_water_like,cingulate gyrus part of cingulum (right),composite,A,G,36351,-0.009269033907712042,0.012086969946024826,-0.7668616658354852,0.44316875230004804,nonrobust,-0.018538067815424084,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
tract_geometry_like__tbss__superior_cerebellar_peduncle_right,,secondary,secondary,dMRI_composite_tbss,tract_geometry_like,superior cerebellar peduncle (right),composite,A,G,36352,0.008279655858860608,0.010799119221671464,0.7666973286344645,0.44326647556593746,nonrobust,0.016559311717721216,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
tract_geometry_like__tbss__cingulum_hippocampus_right,,secondary,secondary,dMRI_composite_tbss,tract_geometry_like,cingulum hippocampus (right),composite,A,G,36352,-0.008305099349270463,0.010887383784359047,-0.762818645302251,0.44557651400879705,nonrobust,-0.016610198698540926,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
demyelination_like__tbss__splenium_of_corpus_callosum,,secondary,secondary,dMRI_composite_tbss,demyelination_like,splenium of corpus callosum,composite,A,G,36352,-0.008619087676328777,0.011473452258765313,-0.7512200758707213,0.45252508726819185,nonrobust,-0.017238175352657554,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
tract_geometry_like__wm__anterior_thalamic_radiation_right,,secondary,secondary,dMRI_composite_wm,tract_geometry_like,anterior thalamic radiation (right),composite,A,G,36351,0.006497160632001213,0.008664257086628095,0.7498808688431635,0.4533313150160516,nonrobust,0.012994321264002425,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
axonal_loss_like__tbss__sagittal_stratum_left,,secondary,secondary,dMRI_composite_tbss,axonal_loss_like,sagittal stratum (left),composite,A,G,36352,-0.00591131348112895,0.007978981540414692,-0.7408606538550434,0.45878272393091146,nonrobust,-0.0118226269622579,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
demyelination_like__wm__medial_lemniscus_right,,secondary,secondary,dMRI_composite_wm,demyelination_like,medial lemniscus (right),composite,A,G,36351,0.006690500053765896,0.009066866539431397,0.7379065330529804,0.46057601628119316,nonrobust,0.013381000107531791,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
demyelination_like__tbss__inferior_cerebellar_peduncle_right,,secondary,secondary,dMRI_composite_tbss,demyelination_like,inferior cerebellar peduncle (right),composite,A,G,36352,-0.007206973256988918,0.009781856212188855,-0.7367694945268712,0.46126729617896967,nonrobust,-0.014413946513977836,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
demyelination_like__tbss__superior_fronto_occipital_fasciculus_rig,,secondary,secondary,dMRI_composite_tbss,demyelination_like,superior fronto-occipital fasciculus (right),composite,A,G,36352,0.008061514681549326,0.010953314086084057,0.735988634872737,0.4617423673761085,nonrobust,0.016123029363098652,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
free_water_like__tbss__cerebral_peduncle_right,,secondary,secondary,dMRI_composite_tbss,free_water_like,cerebral peduncle (right),composite,A,G,36352,0.00995096997256907,0.013623903228201596,0.7304052154429926,0.46514724253997397,nonrobust,0.01990193994513814,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
axonal_loss_like__tbss__external_capsule_left,,secondary,secondary,dMRI_composite_tbss,axonal_loss_like,external capsule (left),composite,A,G,36352,-0.0049758747897902375,0.0068139190952553625,-0.7302515219552601,0.46524116475084387,nonrobust,-0.009951749579580475,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
demyelination_like__wm__forceps_major,,secondary,secondary,dMRI_composite_wm,demyelination_like,forceps major,composite,A,G,36351,0.008436287144929715,0.011613715248867219,0.7264072662494955,0.4675938193812256,nonrobust,0.01687257428985943,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
tract_geometry_like__wm__superior_thalamic_radiation_right,,secondary,secondary,dMRI_composite_wm,tract_geometry_like,superior thalamic radiation (right),composite,A,G,36351,0.006977896278200107,0.009812417964639348,0.711129132834139,0.4770087853083851,nonrobust,0.013955792556400214,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
free_water_like__tbss__cerebral_peduncle_left,,secondary,secondary,dMRI_composite_tbss,free_water_like,cerebral peduncle (left),composite,A,G,36352,-0.009630560890542946,0.013575137464640619,-0.709426399226367,0.478064464246987,nonrobust,-0.019261121781085893,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
tract_geometry_like__tbss__sagittal_stratum_right,,secondary,secondary,dMRI_composite_tbss,tract_geometry_like,sagittal stratum (right),composite,A,G,36352,0.00729611649844204,0.01040554061306405,0.7011761108578867,0.4831976086597479,nonrobust,0.01459223299688408,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
axonal_loss_like__tbss__pontine_crossing_tract,,secondary,secondary,dMRI_composite_tbss,axonal_loss_like,pontine crossing tract,composite,A,G,36352,-0.00507458700124298,0.0072505186172171976,-0.6998929689240139,0.4839986313669873,nonrobust,-0.01014917400248596,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
tract_geometry_like__wm__parahippocampal_part_of_cingulum_right,,secondary,secondary,dMRI_composite_wm,tract_geometry_like,parahippocampal part of cingulum (right),composite,A,G,36351,0.007411412541803981,0.010628752981118395,0.6972984088509814,0.4856205270218694,nonrobust,0.014822825083607962,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
tract_geometry_like__wm__inferior_fronto_occipital_fasciculus_lef,,secondary,secondary,dMRI_composite_wm,tract_geometry_like,inferior fronto-occipital fasciculus (left),composite,A,G,36351,-0.006468117649375936,0.009443733109759022,-0.6849111018069616,0.4934043908474509,nonrobust,-0.012936235298751871,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
demyelination_like__wm__posterior_thalamic_radiation_left,,secondary,secondary,dMRI_composite_wm,demyelination_like,posterior thalamic radiation (left),composite,A,G,36351,0.007060748803532077,0.01041219460158118,0.6781230157242588,0.4976980190256619,nonrobust,0.014121497607064154,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
free_water_like__wm__anterior_thalamic_radiation_right,,secondary,secondary,dMRI_composite_wm,free_water_like,anterior thalamic radiation (right),composite,A,G,36351,0.009071813319125589,0.013389815452797346,0.677515933741293,0.49808297967051085,nonrobust,0.018143626638251177,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
tract_geometry_like__wm__inferior_longitudinal_fasciculus_right,,secondary,secondary,dMRI_composite_wm,tract_geometry_like,inferior longitudinal fasciculus (right),composite,A,G,36351,-0.00594037663179304,0.008845135746247805,-0.6715981305671884,0.5018438403277583,nonrobust,-0.01188075326358608,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
free_water_like__wm__superior_longitudinal_fasciculus_left,,secondary,secondary,dMRI_composite_wm,free_water_like,superior longitudinal fasciculus (left),composite,A,G,36351,0.009297779071923749,0.013845799126652817,0.6715234698173366,0.501891384276403,nonrobust,0.018595558143847498,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
demyelination_like__wm__inferior_longitudinal_fasciculus_left,,secondary,secondary,dMRI_composite_wm,demyelination_like,inferior longitudinal fasciculus (left),composite,A,G,36351,0.0069188235060753745,0.010428521056035815,0.6634520339843301,0.5070453008785277,nonrobust,0.013837647012150749,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
demyelination_like__wm__superior_longitudinal_fasciculus_left,,secondary,secondary,dMRI_composite_wm,demyelination_like,superior longitudinal fasciculus (left),composite,A,G,36351,0.007480032220663463,0.011364321038715913,0.6582031777508333,0.5104117551595005,nonrobust,0.014960064441326927,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
free_water_like__tbss__external_capsule_right,,secondary,secondary,dMRI_composite_tbss,free_water_like,external capsule (right),composite,A,G,36352,0.009115982649443712,0.013901521370423095,0.6557543168504488,0.5119863678483283,nonrobust,0.018231965298887425,ok,1.0,0.9659656918638383,1.0,0.9631494653569467
