r2,r2_adj,cond_number,bp_p,jb_p,n_studres_gt4,diagnostic_status,column_name,family,analysis_tier
0.1802414982717747,0.16595097860654473,2.7314356808900716e+38,9.840952048271513e-12,1.01225313672433e-309,34,ok,demyelination_like__wm__acoustic_radiation_left,secondary_composite,secondary_composite
0.17806762369768503,0.16373920775289796,2.7314356808900716e+38,2.5439870606333122e-17,0.0,46,ok,demyelination_like__wm__acoustic_radiation_right,secondary_composite,secondary_composite
0.5165209422211343,0.5080926466092562,2.7314356808900716e+38,0.9999999999999887,0.0,47,ok,demyelination_like__tbss__anterior_corona_radiata_right,secondary_composite,secondary_composite
0.5411697160583389,0.5331711125893319,2.7314356808900716e+38,5.754957853909175e-189,0.0,42,ok,demyelination_like__tbss__anterior_corona_radiata_left,secondary_composite,secondary_composite
0.3520484888209937,0.34075301119789136,2.7314356808900716e+38,2.2002404833210336e-285,0.0,135,ok,demyelination_like__tbss__anterior_limb_of_internal_capsule_left,secondary_composite,secondary_composite
0.35505346750026,0.3438103744597135,2.7314356808900716e+38,2.6242808474542358e-169,0.0,136,ok,demyelination_like__tbss__anterior_limb_of_internal_capsule_right,secondary_composite,secondary_composite
0.5141593105691387,0.5056898455842151,2.7314356808900716e+38,1.4707977369557975e-180,0.0,62,ok,demyelination_like__wm__anterior_thalamic_radiation_left,secondary_composite,secondary_composite
0.5072744713554986,0.4986849857425888,2.7314356808900716e+38,7.669139864276224e-259,0.0,50,ok,demyelination_like__wm__anterior_thalamic_radiation_right,secondary_composite,secondary_composite
0.36437308860553164,0.3532924607646709,2.7314356808900716e+38,2.5104326346558033e-84,0.0,51,ok,demyelination_like__tbss__body_of_corpus_callosum,secondary_composite,secondary_composite
0.2505403721705457,0.23747534444931628,2.7314356808900716e+38,1.091916983276243e-14,0.0,31,ok,demyelination_like__tbss__cerebral_peduncle_right,secondary_composite,secondary_composite
0.21906960390690178,0.205455958962669,2.7314356808900716e+38,0.9999999999999998,0.0,29,ok,demyelination_like__tbss__cerebral_peduncle_left,secondary_composite,secondary_composite
0.258615992620722,0.24569174393698823,2.7314356808900716e+38,6.053775729940632e-44,0.0,25,ok,demyelination_like__wm__cingulate_gyrus_part_of_cingulum_left,secondary_composite,secondary_composite
0.2565868827121067,0.2436272613729008,2.7314356808900716e+38,4.500066099482025e-21,0.0,24,ok,demyelination_like__wm__cingulate_gyrus_part_of_cingulum_right,secondary_composite,secondary_composite
0.2883760897609583,0.2759706368597935,2.7314356808900716e+38,4.948277719956302e-25,0.0,37,ok,demyelination_like__tbss__cingulum_cingulate_gyrus_left,secondary_composite,secondary_composite
0.3068318241305429,0.2947481026104968,2.7314356808900716e+38,2.1932403047302204e-05,0.0,29,ok,demyelination_like__tbss__cingulum_cingulate_gyrus_right,secondary_composite,secondary_composite
0.17869247524164755,0.16437495208206254,2.7314356808900716e+38,4.2114820850307893e-08,0.0,86,ok,demyelination_like__tbss__cingulum_hippocampus_left,secondary_composite,secondary_composite
0.17712829837285415,0.1627835075481503,2.7314356808900716e+38,0.7708118634114702,0.0,65,ok,demyelination_like__tbss__cingulum_hippocampus_right,secondary_composite,secondary_composite
