column_name,field_id,field_id_base,family,analysis_tier,confirmatory_role,panel,modality,metric,region,source,effect_allele,other_allele,reference,n,status,beta_AA_vs_GG,se_AA_vs_GG,p_AA_vs_GG,beta_AG_vs_GG,se_AG_vs_GG,p_AG_vs_GG,wald_df,wald_chi2,wald_p,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
SWI_deep_gm_QSM_f24472,24472.0,24472.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32534,ok,0.02444885474550996,0.014607883498137544,0.09420419933122406,-0.003737239727184471,0.01297601784123475,0.7733399579722404,2,5.529469004177382,0.06299282159061638,0.06299282159061638,1.200708938184653,102,19.0,False,False,False
SWI_deep_gm_QSM_f24483,24483.0,24483.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32535,ok,-0.04018146576188017,0.015599035961583442,0.010002570998649644,-0.0018932499011375128,0.01385619380182636,0.8913196646566391,2,9.911371486802887,0.007043248761867177,0.007043248761867177,2.1522269724058614,102,2.0,True,True,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,GG,32473,ok,0.004936964729817859,0.007514411209235864,0.5111859481979593,0.011912307169069361,0.006672182326292745,0.07421098493672292,2,3.4842308517357026,0.1751494926736436,0.1751494926736436,0.7565911162929414,3,3.0,False,False,False
SWI_deep_gm_QSM_f24484,24484.0,24484.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32535,ok,-0.01764215527363145,0.015540235777975961,0.2562763292020311,-0.005252501110495624,0.013803963219009912,0.7035718183834916,2,1.4436928303783243,0.4858543384206019,0.4858543384206019,0.3134939148982968,102,75.0,False,False,False
WM_volume_normalized,25007.0,25007.0,exploratory_structural,exploratory_structural,exploratory,exploratory,T1,WM_volume_normalized,Volume of white matter (normalised for head size),basket,A,G,GG,32568,ok,0.011005323115259924,0.01231761958956303,0.3716166140376148,0.01576735972424166,0.010941756062128756,0.1495869970846303,2,2.0768835538942807,0.35400587251974186,0.35400587251974186,0.4509895335059505,2,1.0,False,False,False
SWI_T2star_T2star_median_t2star_in_putamen_left,25030.0,25030.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in putamen (left),basket,A,G,GG,32547,ok,-0.02235588813103971,0.015086584522391653,0.1383930109114505,-0.0012323525774252287,0.013402490219398166,0.9267387205381332,2,3.2459965350853985,0.19730623446496331,0.19730623446496331,0.7048591917323319,102,44.0,False,False,False
SWI_T2star_T2star_median_t2star_in_caudate_right,25029.0,25029.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in caudate (right),basket,A,G,GG,32545,ok,-0.009833635729935295,0.015214931210523136,0.5180801206320959,0.005955652611123108,0.01351614505578055,0.6594820577405367,2,1.5278047183823893,0.4658449809099948,0.4658449809099948,0.3317585793096118,102,71.0,False,False,False
SWI_T2star_T2star_median_t2star_in_pallidum_left,25032.0,25032.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in pallidum (left),basket,A,G,GG,32542,ok,-0.03711231281480672,0.015550449153917805,0.017011917062561492,0.010192810259483875,0.013814691643993227,0.4606268551073439,2,13.359008744078379,0.0012564005255027192,0.0012564005255027192,2.900871890625265,102,1.0,True,True,False
WMH_mean_volume,24486.0,24486.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_mean_volume,,basket,A,G,GG,32412,ok,0.010897657202617893,0.009937772381479623,0.2728291543710627,0.019164653333001803,0.008827022666619548,0.02992836603372454,2,4.7966554640559025,0.09086978493340304,0.09086978493340304,1.04158049981528,3,2.0,False,False,False
SWI_T2star_T2star_median_t2star_in_pallidum_right,25033.0,25033.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in pallidum (right),basket,A,G,GG,32543,ok,-0.028653716614870935,0.015560418921402166,0.06556505391307081,0.006012778549953347,0.0138222158511231,0.6635593416647954,2,7.2583554260306355,0.026537997289211752,0.026537997289211752,1.5761318546088159,102,12.0,True,False,False
SWI_T2star_T2star_median_t2star_in_caudate_left,25028.0,25028.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_T2star,T2star,Median T2star in caudate (left),basket,A,G,GG,32541,ok,-0.015598996441042135,0.015171110260874135,0.3038616477631465,0.013615751227635017,0.013477352896727676,0.31237409390434057,2,5.328211728262494,0.06966161264160818,0.06966161264160818,1.157006475998295,102,23.0,False,False,False
