tract,tract_query,metric,loading,pc,explained_variance_ratio
splenium of corpus callosum,corpus callosum,ISOVF_tbss,0.347377727405575,PC1,0.5113007364305239
splenium of corpus callosum,corpus callosum,FA_tbss,0.36867879221369587,PC2,0.3231865236639055
splenium of corpus callosum,corpus callosum,MD_tbss,0.0967504747909243,PC2,0.3231865236639055
splenium of corpus callosum,corpus callosum,MO_tbss,0.5311235535821179,PC2,0.3231865236639055
splenium of corpus callosum,corpus callosum,L1_tbss,0.41044024471393065,PC2,0.3231865236639055
splenium of corpus callosum,corpus callosum,L2_tbss,-0.3409694919822641,PC2,0.3231865236639055
splenium of corpus callosum,corpus callosum,L3_tbss,-0.07072358017114734,PC2,0.3231865236639055
splenium of corpus callosum,corpus callosum,ICVF_tbss,-0.04174247029467284,PC2,0.3231865236639055
splenium of corpus callosum,corpus callosum,OD_tbss,-0.5302219679185776,PC2,0.3231865236639055
splenium of corpus callosum,corpus callosum,ISOVF_tbss,0.004699128050470899,PC2,0.3231865236639055
genu of corpus callosum,genu,FA_tbss,-0.4002346056706643,PC1,0.5951366208048611
genu of corpus callosum,genu,MD_tbss,0.4222392745114143,PC1,0.5951366208048611
genu of corpus callosum,genu,MO_tbss,-0.15630167223513475,PC1,0.5951366208048611
genu of corpus callosum,genu,L1_tbss,0.26285703153564227,PC1,0.5951366208048611
genu of corpus callosum,genu,L2_tbss,0.4192045596651154,PC1,0.5951366208048611
genu of corpus callosum,genu,L3_tbss,0.42441178129950463,PC1,0.5951366208048611
genu of corpus callosum,genu,ICVF_tbss,-0.3155404976040106,PC1,0.5951366208048611
genu of corpus callosum,genu,OD_tbss,0.019264379034509505,PC1,0.5951366208048611
genu of corpus callosum,genu,ISOVF_tbss,0.3349738479864959,PC1,0.5951366208048611
genu of corpus callosum,genu,FA_tbss,-0.18171650556167718,PC2,0.24492609723169043
genu of corpus callosum,genu,MD_tbss,-0.12599049868531192,PC2,0.24492609723169043
genu of corpus callosum,genu,MO_tbss,-0.5676320229595909,PC2,0.24492609723169043
genu of corpus callosum,genu,L1_tbss,-0.44832739454021925,PC2,0.24492609723169043
genu of corpus callosum,genu,L2_tbss,0.12087033017111987,PC2,0.24492609723169043
genu of corpus callosum,genu,L3_tbss,-0.0010851229586243197,PC2,0.24492609723169043
genu of corpus callosum,genu,ICVF_tbss,0.1338923026171747,PC2,0.24492609723169043
genu of corpus callosum,genu,OD_tbss,0.6280030910053678,PC2,0.24492609723169043
genu of corpus callosum,genu,ISOVF_tbss,-0.031242510192445862,PC2,0.24492609723169043
splenium of corpus callosum,splenium,FA_tbss,-0.3458905576089172,PC1,0.5113007364305239
splenium of corpus callosum,splenium,MD_tbss,0.45388706130125434,PC1,0.5113007364305239
splenium of corpus callosum,splenium,MO_tbss,0.09029938458760847,PC1,0.5113007364305239
splenium of corpus callosum,splenium,L1_tbss,0.28808766022966287,PC1,0.5113007364305239
splenium of corpus callosum,splenium,L2_tbss,0.36655551134016906,PC1,0.5113007364305239
splenium of corpus callosum,splenium,L3_tbss,0.4495594944366249,PC1,0.5113007364305239
splenium of corpus callosum,splenium,ICVF_tbss,-0.3374932275538607,PC1,0.5113007364305239
splenium of corpus callosum,splenium,OD_tbss,-0.11026392353191117,PC1,0.5113007364305239
splenium of corpus callosum,splenium,ISOVF_tbss,0.347377727405575,PC1,0.5113007364305239
