step,n,n_dropped_this_step
genotype_input,487409,0
phenotype_input,502357,0
covariate_input,488221,0
merged_inner_join,487150,0
ancestry=White British_via_sqc,430518,56632
unrelated_king≥0.0884,399161,31357
required_covars_nonmissing,399161,0
