column_name,family,panel,modality,metric,region,tier_source,include
dMRI_TBSS_FA_superior_fronto_occipital_fasciculus_rig,exploratory,primary,dMRI_TBSS,FA,superior fronto-occipital fasciculus (right),basket,True
dMRI_TBSS_FA_superior_fronto_occipital_fasciculus_lef,exploratory,primary,dMRI_TBSS,FA,superior fronto-occipital fasciculus (left),basket,True
dMRI_TBSS_FA_uncinate_fasciculus_right,exploratory,primary,dMRI_TBSS,FA,uncinate fasciculus (right),basket,True
dMRI_TBSS_FA_uncinate_fasciculus_left,exploratory,primary,dMRI_TBSS,FA,uncinate fasciculus (left),basket,True
dMRI_TBSS_FA_tapetum_right,exploratory,primary,dMRI_TBSS,FA,tapetum (right),basket,True
dMRI_TBSS_FA_tapetum_left,exploratory,primary,dMRI_TBSS,FA,tapetum (left),basket,True
dMRI_TBSS_MD_middle_cerebellar_peduncle,exploratory,primary,dMRI_TBSS,MD,middle cerebellar peduncle,basket,True
dMRI_TBSS_MD_pontine_crossing_tract,exploratory,primary,dMRI_TBSS,MD,pontine crossing tract,basket,True
dMRI_TBSS_MD_genu_of_corpus_callosum,exploratory,primary,dMRI_TBSS,MD,genu of corpus callosum,basket,True
dMRI_TBSS_MD_body_of_corpus_callosum,exploratory,primary,dMRI_TBSS,MD,body of corpus callosum,basket,True
dMRI_TBSS_MD_splenium_of_corpus_callosum,exploratory,primary,dMRI_TBSS,MD,splenium of corpus callosum,basket,True
dMRI_TBSS_MD_fornix,exploratory,primary,dMRI_TBSS,MD,fornix,basket,True
dMRI_TBSS_MD_corticospinal_tract_right,exploratory,primary,dMRI_TBSS,MD,corticospinal tract (right),basket,True
dMRI_TBSS_MD_corticospinal_tract_left,exploratory,primary,dMRI_TBSS,MD,corticospinal tract (left),basket,True
dMRI_TBSS_MD_medial_lemniscus_right,exploratory,primary,dMRI_TBSS,MD,medial lemniscus (right),basket,True
dMRI_TBSS_MD_medial_lemniscus_left,exploratory,primary,dMRI_TBSS,MD,medial lemniscus (left),basket,True
dMRI_TBSS_MD_inferior_cerebellar_peduncle_right,exploratory,primary,dMRI_TBSS,MD,inferior cerebellar peduncle (right),basket,True
dMRI_TBSS_MD_inferior_cerebellar_peduncle_left,exploratory,primary,dMRI_TBSS,MD,inferior cerebellar peduncle (left),basket,True
dMRI_TBSS_MD_superior_cerebellar_peduncle_right,exploratory,primary,dMRI_TBSS,MD,superior cerebellar peduncle (right),basket,True
dMRI_TBSS_MD_superior_cerebellar_peduncle_left,exploratory,primary,dMRI_TBSS,MD,superior cerebellar peduncle (left),basket,True
dMRI_TBSS_MD_cerebral_peduncle_right,exploratory,primary,dMRI_TBSS,MD,cerebral peduncle (right),basket,True
dMRI_TBSS_MD_cerebral_peduncle_left,exploratory,primary,dMRI_TBSS,MD,cerebral peduncle (left),basket,True
dMRI_TBSS_MD_anterior_limb_of_internal_capsule_right,exploratory,primary,dMRI_TBSS,MD,anterior limb of internal capsule (right),basket,True
dMRI_TBSS_MD_anterior_limb_of_internal_capsule_left,exploratory,primary,dMRI_TBSS,MD,anterior limb of internal capsule (left),basket,True
dMRI_TBSS_MD_posterior_limb_of_internal_capsule_right,exploratory,primary,dMRI_TBSS,MD,posterior limb of internal capsule (right),basket,True
dMRI_TBSS_MD_posterior_limb_of_internal_capsule_left,exploratory,primary,dMRI_TBSS,MD,posterior limb of internal capsule (left),basket,True
dMRI_TBSS_MD_retrolenticular_part_of_internal_capsule_f25124,exploratory,primary,dMRI_TBSS,MD,retrolenticular part of internal capsule (right),basket,True
dMRI_TBSS_MD_retrolenticular_part_of_internal_capsule_f25125,exploratory,primary,dMRI_TBSS,MD,retrolenticular part of internal capsule (left),basket,True
dMRI_TBSS_MD_anterior_corona_radiata_right,exploratory,primary,dMRI_TBSS,MD,anterior corona radiata (right),basket,True
dMRI_TBSS_MD_anterior_corona_radiata_left,exploratory,primary,dMRI_TBSS,MD,anterior corona radiata (left),basket,True
dMRI_TBSS_MD_superior_corona_radiata_right,exploratory,primary,dMRI_TBSS,MD,superior corona radiata (right),basket,True
dMRI_TBSS_MD_superior_corona_radiata_left,exploratory,primary,dMRI_TBSS,MD,superior corona radiata (left),basket,True
dMRI_TBSS_MD_posterior_corona_radiata_right,exploratory,primary,dMRI_TBSS,MD,posterior corona radiata (right),basket,True
dMRI_TBSS_MD_posterior_corona_radiata_left,exploratory,primary,dMRI_TBSS,MD,posterior corona radiata (left),basket,True
dMRI_TBSS_MD_posterior_thalamic_radiation_right,exploratory,primary,dMRI_TBSS,MD,posterior thalamic radiation (right),basket,True
dMRI_TBSS_MD_posterior_thalamic_radiation_left,exploratory,primary,dMRI_TBSS,MD,posterior thalamic radiation (left),basket,True
dMRI_TBSS_MD_sagittal_stratum_right,exploratory,primary,dMRI_TBSS,MD,sagittal stratum (right),basket,True
dMRI_TBSS_MD_sagittal_stratum_left,exploratory,primary,dMRI_TBSS,MD,sagittal stratum (left),basket,True
dMRI_TBSS_MD_external_capsule_right,exploratory,primary,dMRI_TBSS,MD,external capsule (right),basket,True
dMRI_TBSS_MD_external_capsule_left,exploratory,primary,dMRI_TBSS,MD,external capsule (left),basket,True
